FileName,Effective Date,Admin Fee,AdminServices,DataFee,DataServices
Zinc - Akebia PBM Rebate Agreement - 1st Amendment FINAL 03.11.2022 AV.Stamped pdf.pdf,"July 1, 2022",,,,
Zinc - Akebia PBM Rebate Agreement - 1st Amendment FINAL_Fully Executed.pdf,"July 1, 2022",,,,
Zinc - Akebia PBM Rebate Agreement - 1st Amendment FINAL_PE.pdf,"July 1, 2022",,,,
Zinc - Akebia PBM Rebate Agreement - 2nd Amendment_FE.pdf,"January 1, 2024",,,1.50%,"Utilization Reports; Portal.  Subject to and in accordance with the terms and conditions of Appendix 1 to this Attachment 3,"
Zinc - Akebia PBM Rebate Agreement - 2nd Amendment_PE.pdf,"January 1, 2024",,,1.50%,"Utilization Reports; Portal.  Subject to and in accordance with the terms and conditions of Appendix 1 to this Attachment 3,"
Zinc - Akebia PBM Rebate Agreement - 3rd Amendment FINAL 03.28.2024 AV.Stamped.pdf,"July 1, 2024",,,,
Zinc - Akebia PBM Rebate Agreement - 3rd Amendment FINAL 03.28.2024_FE.pdf,,,,,
Zinc - Akebia PBM Rebate Agreement - 3rd Amendment FINAL 03.28.2024_PE.pdf,"July 1, 2024",,,,
Zinc - Akebia PBM Rebate Agreement FINAL_FE.pdf,"October 1, 2021",4.00%,(a) negotiate and contract with Participants for participation in the Rebates provided under this Agreement; (b) notify Participants of the applicable requirements for receiving Rebates on Products in accordance with Company’s standard business practices; (c) monitor compliance with the Rebate eligibility requirements; (d) calculate the amount of Rebates applicable to each Product and invoice Manufacturer for such amounts; (e) utilize control measures to protect against payment of unearned Rebates; and (f) allocate and distribute Rebates in accordance with the requirements of the agreements with its Participants and provide supporting reports.,1.00%,Utilization Reports; Portal.  Subject to and in accordance with the terms and conditions of Appendix 1 to this
Zinc - Akebia PBM Rebate Agreement FINAL_PE.pdf,"October 1, 2021",4.00%,(a) negotiate and contract with Participants for participation in the Rebates provided under this Agreement; (b) notify Participants of the applicable requirements for receiving Rebates on Products in accordance with Company’s standard business practices; (c) monitor compliance with the Rebate eligibility requirements; (d) calculate the amount of Rebates applicable to each Product and invoice Manufacturer for such amounts; (e) utilize control measures to protect against payment of unearned Rebates; and (f) allocate and distribute Rebates in accordance with the requirements of the agreements with its Participants and provide supporting reports.,1.00%,Utilization Reports; Portal.  Subject to and in accordance with the terms and conditions of Appendix 1 to this
Zinc User Registration Form Final.docx.pdf,"November 10, 2021",,,,
Caremark Commercial Master Agreement 10.1.15.pdf,,,,,
ESI Commercial Master 1.1.15.pdf,,,,,
FINAL.Akebia.AHS.Rebate Agreement.pdf,"August 1, 2019",,,,
Optum Commercial Master 10.1.15.pdf,,,,,
Zinc - Akebia PBM Rebate Agreement FINAL_FE.pdf,"October 1, 2021",4.00%,(a) negotiate and contract with Participants for participation in the Rebates provided under this Agreement; (b) notify Participants of the applicable requirements for receiving Rebates on Products in accordance with Company’s standard business practices; (c) monitor compliance with the Rebate eligibility requirements; (d) calculate the amount of Rebates applicable to each Product and invoice Manufacturer for such amounts; (e) utilize control measures to protect against payment of unearned Rebates; and (f) allocate and distribute Rebates in accordance with the requirements of the agreements with its Participants and provide supporting reports.,1.00%,Utilization Reports; Portal.  Subject to and in accordance with the terms and conditions of Appendix 1 to this
