FileName,Effective Date,Admin Fee,Services,DataFee,Notes
Abacus (formerly Trinus Health)_Executed Agreement_2020.pdf,"August 1, 2020",,Dispute Resolution; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Process and Report Rebates; Provide Member Communication; Provide Membership List; Track Member Performance,,
Abacus_First_Amend_Product Adds_10.1.2025.pdf,"October 1, 2025",,,,
Access Vaccines_First Amend to PPA_Fully Executed__5.16.24.pdf,"June 1, 2024",,,,
Access Vaccines_Purchase Agmnt_fully executed_8.1.2020.pdf,"August 1, 2020",,Dispute Resolution; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Process and Report Rebates; Provide Member Communication; Provide Membership List; Track Member Performance,,
Access_Vaccines_Second_Amend_to_Product_Purchase_Agreement_Product_Additions_7.1.25.pdf,"July 1, 2025",,,,
Apexus_Amendment-Extension to 9.30.2025_VG4087_8.30.2025.pdf,"September 1, 2020",,Data Portal Access; Eblast Contract Updates,,
Apexus_First Amendment_Agreemnt Extension_fully executed_Eff 8.30.23.pdf,"September 1, 2020",,Maintain and Manage Agreement with all Members; Perform Other Administrative Functions; Track Member Performance,,
Apexus_Product Supplier Agreement_fully executed_9.1.2020.pdf,"September 1, 2020",3%,Administer Rebate Program; Business Review Meetings; Contract Performance Tool; Data Portal Access; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Perform Other Administrative Functions; Process and Report Rebates; Provide Member Communication; Provide Membership List; Track Member Performance; Eblast Contract Updates,,
Apexus_Second Amendment_Agreemnt_fully executed_Eff 3.28.2024.pdf,"September 1, 2020",,Facilitate Designated Wholesaler Pricing; Provide Membership List,,
Apexus_VG4087_Product Supplier Agreement_5 yr_10.1.2025.pdf,"October 1, 2025",3%,Administer Rebate Program; Contract Performance Tool; Create Contract Summary; Data Portal Access; Dispute Resolution; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Perform Other Administrative Functions; Post Company Logo on Website; Process and Report Rebates; Provide Member Communication; Provide Membership List; Track Member Performance; Eblast Contract Updates,,
Atlantic Health Partners - Bavarian Nordic - Product Purchase Agreement Fully Executed 9.17.24.pdf,"October 1, 2024",,Business Review Meetings; Contract Performance Tool; Dispute Resolution; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Process and Report Rebates; Provide Member Communication; Provide Membership List; Track Member Performance; Eblast Contract Updates,,
Atlantic Health Partners - First Amendment - All Product Add_Fully executed 5.1.2025.pdf,"May 1, 2025",,,,
Federation of Pharmacy Networks (FPN)_Group Purchasing Agrmnt_6.1.2025.pdf,"June 1, 2025",2%,Administer Rebate Program; Business Review Meetings; Contract Performance Tool; Create Contract Summary; Data Portal Access; Dispute Resolution; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Perform Other Administrative Functions; Process and Report Rebates; Promotional Allowance; Provide Member Communication; Provide Membership List; Provide Product Training/Education; Track Member Performance; Eblast Contract Updates,,
FPNExecuted_First Amend to Product Purchase Agreement_Vimkunya Contract Price Change 6.25.25LK.pdf,"July 1, 2025",,,,
FPN_Second Amendment_AD Update_9.18.2025.pdf,"October 1, 2025",,,,
MedicoMart_First Amendment_Agreemnt Extension_fully executed_Eff 8.30.23.pdf,"April 1, 2024",,Provide Membership List,,
MedicoMart_Prod Distr Agrmnt_fully executed_8.1.2020.pdf,"December 31, 2021",,Contract Performance Tool; Data Portal Access; Dispute Resolution; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Promotional Allowance; Provide Membership List; Track Member Performance,,
MedicoMart_Second Amend_Add Products_2.24.2025.pdf,"February 24, 2025",,Data Portal Access; Facilitate Designated Wholesaler Pricing; Perform Other Administrative Functions; Track Member Performance,,
