FileName,Effective Date,Admin Fee,Services,DataFee,Notes,Service Evidence
Abacus (formerly Trinus Health)_Executed Agreement_2020.pdf,"August 1, 2020",,Facilitate Designated Wholesaler Pricing; Monitor Compliance Obligations,,,"Facilitate Designated Wholesaler Pricing: ...o b¢ legally bound, agree as follows: 1. BN will make available Product to the Members, and the Members may purchase Product from one or mor¢ wholesalers designated by BN (the “Authorized Wholesalers”...

Monitor Compliance Obligations: ...ts. 8. Group will not disclose BN’s Confidential Information (as defined below) to any third party without the prior written consent of BN (except as required to comply with law or order). BN may disc..."
Abacus_First_Amend_Product Adds_10.1.2025.pdf,"October 1, 2025",,,,,
Access Vaccines_First Amend to PPA_Fully Executed__5.16.24.pdf,"June 1, 2024",,,,,
Access Vaccines_Purchase Agmnt_fully executed_8.1.2020.pdf,"August 1, 2020",,Facilitate Designated Wholesaler Pricing; Monitor Compliance Obligations,,,"Facilitate Designated Wholesaler Pricing: ...legally bound, agree as follows: 1. BN will make available Product to the Members, and the Members may purchase Product from one or more wholesalers designated by BN (the “Authorized Wholesalers”), pr...

Monitor Compliance Obligations: ...8. Group will not disclose BN’s Confidential Information (as defined below) to any third party without the prior written consent of BN (except as required to comply with law or order). BN may disclose..."
Access_Vaccines_Second_Amend_to_Product_Purchase_Agreement_Product_Additions_7.1.25.pdf,"July 1, 2025",,,,,
Apexus_Amendment-Extension to 9.30.2025_VG4087_8.30.2025.pdf,"September 1, 2020",,,,,
Apexus_First Amendment_Agreemnt Extension_fully executed_Eff 8.30.23.pdf,"September 1, 2020",,Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Perform Other Administrative Functions,,,"Facilitate Designated Wholesaler Pricing: ...e in accordance with this Section. Supplier shall provide to Apexus’ Risk Management department an ACORD insurance certificate prior to or as of the Effective Date and annually thereafter, and otherwi...

Maintain and Manage Agreement with all Members: ...lowing: 14. Insurance. a. General. Supplier shall maintain, at its sole cost and expense, insurance coverage in accordance with this Section. Supplier shall provide to Apexus’ Risk Management departme...

Perform Other Administrative Functions: ...e in accordance with this Section. Supplier shall provide to Apexus’ Risk Management department an ACORD insurance certificate prior to or as of the Effective Date and annually thereafter, and otherwi..."
Apexus_Product Supplier Agreement_fully executed_9.1.2020.pdf,"September 1, 2020",,Create Contract Summary; Data Portal Access; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Perform Other Administrative Functions; Provide Member Communication; Provide Membership List; Track Member Performance; Eblast Contract Updates,,,"Create Contract Summary: ...Products, collectively, the “Products”), and the provider of any specifications attached hereto as Exhibit B (“Non-Price Specifications”); WHEREAS, in response to Apexus’ request for proposal, Supplie...

Data Portal Access: ...of Products to that Participant. 4. Participant Access to Agreement. Supplier shall not restrict any Participant’s ability to purchase any of the Products pursuant to this Agreement. 5. Product Pricin...

Facilitate Designated Wholesaler Pricing: ...Supplier submitted a written offer to Apexus to make the Products available for purchase by Participants at the prices listed in Exhibit A and/or Exhibit Z; WHEREAS, Apexus and Supplier intend for Sup...

Maintain and Manage Agreement with all Members: ...behalf of the 340B Prime Vendor Program which is managed by Apexus, and BAVARIAN NORDIC, INC. , a Delaware corporation (“Supplier”), having a principal place of business at 3025 Carrington Mill Boulev...

Monitor Compliance Obligations: ...ectronic database further defined in Section 12 (Information to Participants and/or Awarded Distributors) below (the “Apexus Database”); WHEREAS, Supplier is the manufacturer and/or supplier (as appro...

Perform Other Administrative Functions: ...Products, collectively, the “Products”), and the provider of any specifications attached hereto as Exhibit B (“Non-Price Specifications”); WHEREAS, in response to Apexus’ request for proposal, Supplie...

Provide Member Communication: ...t action impacting supply occurs, Supplier shall notify Apexus in writing within twenty-four (24) hours of any such recall or action. Supplier’s obligations in this Section shall survive the expiratio...

Provide Membership List: ...Products, collectively, the “Products”), and the provider of any specifications attached hereto as Exhibit B (“Non-Price Specifications”); WHEREAS, in response to Apexus’ request for proposal, Supplie...

Track Member Performance: ...Products, collectively, the “Products”), and the provider of any specifications attached hereto as Exhibit B (“Non-Price Specifications”); WHEREAS, in response to Apexus’ request for proposal, Supplie...

Eblast Contract Updates: ...ist of Participants is maintained by Apexus in an electronic database further defined in Section 12 (Information to Participants and/or Awarded Distributors) below (the “Apexus Database”); WHEREAS, Su..."
Apexus_Second Amendment_Agreemnt_fully executed_Eff 3.28.2024.pdf,"September 1, 2020",,,,,
Apexus_VG4087_Product Supplier Agreement_5 yr_10.1.2025.pdf,"October 1, 2025",,Create Contract Summary; Facilitate Designated Wholesaler Pricing; Maintain and Manage Agreement with all Members; Monitor Compliance Obligations; Perform Other Administrative Functions; Provide Member Communication; Provide Membership List; Track Member Performance; Eblast Contract Updates,,,"Create Contract Summary: ...Products, collectively, the “Products”), and the provider of any specifications attached hereto as Exhibit B (“Non-Price Specifications”); WHEREAS, in response to Apexus’ request for proposal, Supplie...

Facilitate Designated Wholesaler Pricing: ...Supplier submitted a written offer to Apexus to make the Products available for purchase by Participants at the prices listed in Exhibit A and/or Exhibit Z; WHEREAS, Apexus and Supplier intend for Sup...

Maintain and Manage Agreement with all Members: ...behalf of the 340B Prime Vendor Program which is managed by Apexus, and BAVARIAN NORDIC INC. a Delaware corporation (“Supplier”), having a principal place of business at 1005 Slater Road, Suite 101, D...

Monitor Compliance Obligations: ...ectronic database further defined in Section 12 (Information to Participants and/or Awarded Distributors) below (the “Apexus Database”); WHEREAS, Supplier is the manufacturer and/or supplier (as appro...

Perform Other Administrative Functions: ...Products, collectively, the “Products”), and the provider of any specifications attached hereto as Exhibit B (“Non-Price Specifications”); WHEREAS, in response to Apexus’ request for proposal, Supplie...

Provide Member Communication: ...tends to sell Product(s) directly, Supplier shall notify Apexus in advance and negotiate in good faith to amend this Agreement so that there is no adverse impact to Participants. Any Product(s) sold t...

Provide Membership List: ...Products, collectively, the “Products”), and the provider of any specifications attached hereto as Exhibit B (“Non-Price Specifications”); WHEREAS, in response to Apexus’ request for proposal, Supplie...

Track Member Performance: ...Products, collectively, the “Products”), and the provider of any specifications attached hereto as Exhibit B (“Non-Price Specifications”); WHEREAS, in response to Apexus’ request for proposal, Supplie...

Eblast Contract Updates: ...ist of Participants is maintained by Apexus in an electronic database further defined in Section 12 (Information to Participants and/or Awarded Distributors) below (the “Apexus Database”); WHEREAS, Su..."
